id;descripcion;estado;idprovincia
0101;CUENCA;A;01
0102;GIRÓN;A;01
0103;GUALACEO;A;01
0104;NABÓN;A;01
0105;PAUTE;A;01
0106;PUCARA;A;01
0107;SAN FERNANDO;A;01
0108;SANTA ISABEL;A;01
0109;SIGSIG;A;01
0110;OÑA;A;01
0111;CHORDELEG;A;01
0112;EL PAN;A;01
0113;SEVILLA DE ORO;A;01
0114;GUACHAPALA;A;01
0115;CAMILO PONCE ENRÍQUEZ;A;01
0201;GUARANDA;A;02
0202;CHILLANES;A;02
0203;CHIMBO;A;02
0204;ECHEANDÍA;A;02
0205;SAN MIGUEL;A;02
0206;CALUMA;A;02
0207;LAS NAVES;A;02
0301;AZOGUES;A;03
0302;BIBLIÁN;A;03
0303;CAÑAR;A;03
0304;LA TRONCAL;A;03
0305;EL TAMBO;A;03
0306;DÉLEG;A;03
0307;SUSCAL;A;03
0401;TULCÁN;A;04
0402;BOLÍVAR;A;04
0403;ESPEJO;A;04
0404;MIRA;A;04
0405;MONTÚFAR;A;04
0406;SAN PEDRO DE HUACA;A;04
0501;LATACUNGA;A;05
0502;LA MANÁ;A;05
0503;PANGUA;A;05
0504;PUJILI;A;05
0505;SALCEDO;A;05
0506;SAQUISILÍ;A;05
0507;SIGCHOS;A;05
0601;RIOBAMBA;A;06
0602;ALAUSI;A;06
0603;COLTA;A;06
0604;CHAMBO;A;06
0605;CHUNCHI;A;06
0606;GUAMOTE;A;06
0607;GUANO;A;06
0608;PALLATANGA;A;06
0609;PENIPE;A;06
0610;CUMANDÁ;A;06
0701;MACHALA;A;07
0702;ARENILLAS;A;07
0703;ATAHUALPA;A;07
0704;BALSAS;A;07
0705;CHILLA;A;07
0706;EL GUABO;A;07
0707;HUAQUILLAS;A;07
0708;MARCABELÍ;A;07
0709;PASAJE;A;07
0710;PIÑAS;A;07
0711;PORTOVELO;A;07
0712;SANTA ROSA;A;07
0713;ZARUMA;A;07
0714;LAS LAJAS;A;07
0801;ESMERALDAS;A;08
0802;ELOY ALFARO;A;08
0803;MUISNE;A;08
0804;QUININDÉ;A;08
0805;SAN LORENZO;A;08
0806;ATACAMES;A;08
0807;RIOVERDE;A;08
0808;LA CONCORDIA;A;08
0901;GUAYAQUIL;A;09
0902;ALFREDO BAQUERIZO MORENO (JUJÁN);A;09
0903;BALAO;A;09
0904;BALZAR;A;09
0905;COLIMES;A;09
0906;DAULE;A;09
0907;DURÁN;A;09
0908;EL EMPALME;A;09
0909;EL TRIUNFO;A;09
0910;MILAGRO;A;09
0911;NARANJAL;A;09
0912;NARANJITO;A;09
0913;PALESTINA;A;09
0914;PEDRO CARBO;A;09
0916;SAMBORONDÓN;A;09
0918;SANTA LUCÍA;A;09
0919;SALITRE (URBINA JADO);A;09
0920;SAN JACINTO DE YAGUACHI;A;09
0921;PLAYAS;A;09
0922;SIMÓN BOLÍVAR;A;09
0923;CORONEL MARCELINO MARIDUEÑA;A;09
0924;LOMAS DE SARGENTILLO;A;09
0925;NOBOL;A;09
0927;GENERAL ANTONIO ELIZALDE;A;09
0928;ISIDRO AYORA;A;09
1001;IBARRA;A;10
1002;ANTONIO ANTE;A;10
1003;COTACACHI;A;10
1004;OTAVALO;A;10
1005;PIMAMPIRO;A;10
1006;SAN MIGUEL DE URCUQUÍ;A;10
1101;LOJA;A;11
1102;CALVAS;A;11
1103;CATAMAYO;A;11
1104;CELICA;A;11
1105;CHAGUARPAMBA;A;11
1106;ESPÍNDOLA;A;11
1107;GONZANAMÁ;A;11
1108;MACARÁ;A;11
1109;PALTAS;A;11
1110;PUYANGO;A;11
1111;SARAGURO;A;11
1112;SOZORANGA;A;11
1113;ZAPOTILLO;A;11
1114;PINDAL;A;11
1115;QUILANGA;A;11
1116;OLMEDO;A;11
1201;BABAHOYO;A;12
1202;BABA;A;12
1203;MONTALVO;A;12
1204;PUEBLOVIEJO;A;12
1205;QUEVEDO;A;12
1206;URDANETA;A;12
1207;VENTANAS;A;12
1208;VÍNCES;A;12
1209;PALENQUE;A;12
1210;BUENA FÉ;A;12
1211;VALENCIA;A;12
1212;MOCACHE;A;12
1213;QUINSALOMA;A;12
1301;PORTOVIEJO;A;13
1302;BOLÍVAR;A;13
1303;CHONE;A;13
1304;EL CARMEN;A;13
1305;FLAVIO ALFARO;A;13
1306;JIPIJAPA;A;13
1307;JUNÍN;A;13
1308;MANTA;A;13
1309;MONTECRISTI;A;13
1310;PAJÁN;A;13
1311;PICHINCHA;A;13
1312;ROCAFUERTE;A;13
1313;SANTA ANA;A;13
1314;SUCRE;A;13
1315;TOSAGUA;A;13
1316;24 DE MAYO;A;13
1317;PEDERNALES;A;13
1318;OLMEDO;A;13
1319;PUERTO LÓPEZ;A;13
1320;JAMA;A;13
1321;JARAMIJÓ;A;13
1322;SAN VICENTE;A;13
1401;MORONA;A;14
1402;GUALAQUIZA;A;14
1403;LIMÓN INDANZA;A;14
1404;PALORA;A;14
1405;SANTIAGO;A;14
1406;SUCÚA;A;14
1407;HUAMBOYA;A;14
1408;SAN JUAN BOSCO;A;14
1409;TAISHA;A;14
1410;LOGROÑO;A;14
1411;PABLO SEXTO;A;14
1412;TIWINTZA;A;14
1501;TENA;A;15
1503;ARCHIDONA;A;15
1504;EL CHACO;A;15
1507;QUIJOS;A;15
1509;CARLOS JULIO AROSEMENA TOLA;A;15
1601;PASTAZA;A;16
1602;MERA;A;16
1603;SANTA CLARA;A;16
1604;ARAJUNO;A;16
1701;QUITO;A;17
1702;CAYAMBE;A;17
1703;MEJIA;A;17
1704;PEDRO MONCAYO;A;17
1705;RUMIÑAHUI;A;17
1707;SAN MIGUEL DE LOS BANCOS;A;17
1708;PEDRO VICENTE MALDONADO;A;17
1709;PUERTO QUITO;A;17
1801;AMBATO;A;18
1802;BAÑOS DE AGUA SANTA;A;18
1803;CEVALLOS;A;18
1804;MOCHA;A;18
1805;PATATE;A;18
1806;QUERO;A;18
1807;SAN PEDRO DE PELILEO;A;18
1808;SANTIAGO DE PÍLLARO;A;18
1809;TISALEO;A;18
1901;ZAMORA;A;19
1902;CHINCHIPE;A;19
1903;NANGARITZA;A;19
1904;YACUAMBI;A;19
1905;YANTZAZA (YANZATZA);A;19
1906;EL PANGUI;A;19
1907;CENTINELA DEL CÓNDOR;A;19
1908;PALANDA;A;19
1909;PAQUISHA;A;19
2001;SAN CRISTÓBAL;A;20
2002;ISABELA;A;20
2003;SANTA CRUZ;A;20
2101;LAGO AGRIO;A;21
2102;GONZALO PIZARRO;A;21
2103;PUTUMAYO;A;21
2104;SHUSHUFINDI;A;21
2105;SUCUMBÍOS;A;21
2106;CASCALES;A;21
2107;CUYABENO;A;21
2201;ORELLANA;A;22
2202;AGUARICO;A;22
2203;LA JOYA DE LOS SACHAS;A;22
2204;LORETO;A;22
2301;SANTO DOMINGO;A;23
2401;SANTA ELENA;A;24
2402;LA LIBERTAD;A;24
2403;SALINAS;A;24
9001;LAS GOLONDRINAS;A;90
9003;MANGA DEL CURA;A;90
9004;EL PIEDRERO;A;90
